"","name","rank","region","team","affiliate","s","age","height","weight","fran","helen","grace","filthy50","fgb","sprint400","run5k","cj","snatch","dl","bs","mpu","name.1","rank.1","region.1","team.1","affiliate.1","s.1","age.1","height.1","weight.1","fran.1","helen.1","grace.1","filthy50.1","fgb.1","sprint400.1","run5k.1","cj.1","snatch.1","dl.1","bs.1","mpu.1","name.2","rank.2","region.2","team.2","affiliate.2","s.2","age.2","height.2","weight.2","fran.2","helen.2","grace.2","filthy50.2","fgb.2","sprint400.2","run5k.2","cj.2","snatch.2","dl.2","bs.2","mpu.2","name.3","rank.3","region.3","team.3","affiliate.3","s.3","age.3","height.3","weight.3","fran.3","helen.3","grace.3","filthy50.3","fgb.3","sprint400.3","run5k.3","cj.3","snatch.3","dl.3","bs.3","mpu.3"
"1","Athlete: Rich Froning","1 (28)","Central East","CrossFit Mayhem","CrossFit Mayhem","Male","25","5'9""","195 lb","2:13","0:00","1:11","0:00","508","0:00","0:00","370 lb","300 lb","545 lb","445 lb","75","Athlete: Jonathan Adams","61 (1267)","South East","none","Unaffiliated","Male","31","5'10""","190 lb","2:06","7:12","1:19","--","--","--","--","--","235 lb","630 lb","485 lb","--","Athlete: Jeff Evans","121 (1794)","South East","none","CrossFit Green Box","Male","24","6'0""","205 lb","2:21","--","1:50","--","--","--","25:55","385 lb","285 lb","500 lb","530 lb","57","Athlete: Richard Bohlken","181 (2368)","South Central","none","Maxout CrossFit","Male","24","5'11""","200 lb","2:26","8:01","1:40","--","414","--","--","310 lb","235 lb","520 lb","--","--"
"2","Athlete: Mikko Salo","2 (53)","Europe","CrossFit Pori","CrossFit Pori","Male","33","175 cm","85 kg","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: John Lynch","62 (1313)","North East","Shoreline Crossfit","Shoreline CrossFit","Male","41","5'11""","205 lb","2:30","7:39","1:36","0:00","422","1:06","21:00","275 lb","205 lb","475 lb","415 lb","50","Athlete: Logan Schecter","122 (1821)","North East","CF516","CrossFit 516","Male","23","5'7""","155 lb","2:21","7:44","0:00","0:00","0","1:06","19:11","265 lb","220 lb","385 lb","330 lb","60","Athlete: Caleb Sommer","182 (2371)","South West","Front Range CrossFit","Front Range CrossFit","Male","25","5'11""","201 lb","0:00","0:00","1:28","0:00","0","0:00","20:20","270 lb","235 lb","505 lb","365 lb","72"
"3","Athlete: Josh Bridges","3 (59)","Southern California","Invictus","CrossFit Invictus","Male","29","5'5""","165 lb","--","--","--","--","--","--","--","--","--","--","--","--","Athlete: Scott Mackenzie","63 (1318)","Australia","CrossFit Cog","CrossFit Cog","Male","29","183 cm","86 lb","2:32","8:15","1:30","--","464","1:12","19:40","132 kg","107 kg","205 kg","175 kg","52","Athlete: Adrian Conway","123 (1830)","South West","Hacks Pack UTE","Ute CrossFit Sugarhouse","Male","27","5'10""","198 lb","2:22","0:00","0:00","0:00","--","0:00","0:00","290 lb","235 lb","555 lb","445 lb","--","Athlete: Reid Worthington","183 (2375)","Southern California","none","Citizen CrossFit","Male","25","6'0""","208 lb","0:00","0:00","0:00","0:00","--","0:00","0:00","330 lb","--","495 lb","--","--"
"4","Athlete: Scott Panchik","4 (84)","Central East","none","CrossFit Distinction","Male","25","5'9""","190 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Calvin Davis","63 (1318)","Southern California","Team CDR Redlands","CrossFit CDR Redlands","Male","30","6'2""","215 lb","2:23","7:36","1:52","17:20","420","1:15","23:00","305 lb","250 lb","490 lb","400 lb","40","Athlete: Christian Harris","124 (1836)","North East","CrossFit South Shore LI","Crossfit South Shore L.I.","Male","26","6'1""","204 lb","2:22","8:21","1:58","0:00","0","1:04","24:27","341 lb","282 lb","0 lb","485 lb","46","Athlete: Matt Hewett","184 (2383)","Central East","CrossFit Faith","CrossFit Faith","Male","25","5'8""","184 lb","2:09","--","1:45","--","442","0:52","20:21","--","--","485 lb","475 lb","60"
"5","Athlete: Kenneth Leverich","5 (113)","Southern California","OCCF Black Team","Orange Coast CrossFit","Male","25","5'8""","180 lb","2:17","--","--","--","--","--","--","330 lb","270 lb","502 lb","450 lb","62","Athlete: Travis Mayer","65 (1357)","South East","CrossFit Silos","CrossFit Silos","Male","22","0'6""","190 lb","2:20","6:34","1:40","--","--","--","18:03","310 lb","250 lb","515 lb","430 lb","--","Athlete: Taylor Yaffee","125 (1857)","Southern California","Ruination CrossFit","Ruination CrossFit","Male","20","5'11""","188 lb","2:33","7:53","1:50","0:00","0","1:00","0:00","300 lb","240 lb","475 lb","405 lb","50","Athlete: Jared Cantrell","185 (2389)","Central East","CrossFit NapTown Competition Team","CrossFit Naptown","Male","30","173 cm","77 kg","0:48","3:22","0:21","1:25","789","0:37","11:12","730 lb","540 lb","999 lb","890 lb","108"
"6","Athlete: Neal Maddox","6 (122)","Northern California","none","CrossFit X-treme Athletics","Male","35","5'10""","205 lb","2:04","7:45","1:35","14:34","505","1:10","0:00","315 lb","294 lb","505 lb","455 lb","60","Athlete: Buddy Hitchcock","65 (1357)","Northern California","Team Excel","CrossFit Excel","Male","23","5'9""","180 lb","2:34","7:01","0:00","0:00","400","0:50","25:26","145 kg","128 kg","505 lb","385 lb","0","Athlete: Chase Daniels","126 (1860)","South East","none","Unaffiliated","Male","27","5'11""","185 lb","2:11","7:19","1:31","0:00","0","0:51","18:36","0 lb","225 lb","465 lb","360 lb","47","Athlete: Anthony Baker","186 (2395)","Australia","CrossFit Attitude","CrossFit Attitude","Male","29","180 cm","82 kg","2:18","7:31","--","16:41","--","--","--","120 kg","90 kg","215 kg","160 kg","55"
"7","Athlete: Jason Khalipa","7 (156)","Northern California","NorCal CrossFit","NorCal CrossFit","Male","27","5'9""","210 lb","2:17","7:20","1:33","16:00","427","1:03","23:20","335 lb","265 lb","550 lb","450 lb","50","Athlete: Cj Walker","67 (1369)","Australia","CrossFit Attitude","CrossFit Attitude","Male","26","180 cm","90 lb","2:07","--","1:45","--","--","--","--","130 kg","105 kg","220 kg","180 kg","50","Athlete: Tommy Hackenbruck","127 (1862)","South West","Hacks Pack UTE","Ute CrossFit Sugarhouse","Male","31","6'1""","210 lb","2:24","7:31","1:24","19:00","465","0:57","20:16","335 lb","280 lb","535 lb","495 lb","53","Athlete: Harrison Heller","187 (2398)","North Central","CrossFit ForeFront","CrossFit Forefront","Male","24","6'0""","195 lb","2:31","7:52","1:50","20:18","379","--","--","275 lb","220 lb","500 lb","405 lb","45"
"8","Athlete: Daniel Tyminski","8 (214)","North East","CrossFit Lindy","CrossFit Lindy","Male","27","5'9""","190 lb","2:22","7:02","0:00","14:50","504","0:00","18:38","335 lb","285 lb","525 lb","425 lb","0","Athlete: Pete Rasmusen","68 (1381)","North Central","CrossFit Carbon","CrossFit Carbon","Male","32","5'8""","180 lb","0:00","0:00","0:00","0:00","0","0:00","0:00","0 lb","0 lb","0 lb","0 lb","0","Athlete: Alex Akimovski","128 (1863)","South East","none","CrossFit Tecnica","Male","21","5'9""","180 lb","--","--","--","--","--","--","--","325 lb","245 lb","--","475 lb","--","Athlete: Matthew Coffelt","187 (2398)","North West","Crossfit Meridian","CrossFit Meridian","Male","26","6'2""","227 lb","2:06","8:11","1:59","0:00","369","1:14","24:50","360 lb","280 lb","600 lb","600 lb","40"
"9","Athlete: Dominick Maurici","9 (217)","South East","Caution CrossFit","Caution CrossFit","Male","24","5'7""","180 lb","2:04","7:38","1:17","17:19","483","1:02","19:47","315 lb","235 lb","525 lb","465 lb","76","Athlete: Simon Paquette","69 (1383)","Canada East","HorseSquad","Concept Ekilibre CrossFit","Male","24","0'11""","192 lb","2:16","0:00","1:27","17:01","0","0:00","20:15","285 lb","243 lb","470 lb","395 lb","62","Athlete: Alec Smith","129 (1870)","Mid Atlantic","none","CrossFit Krypton","Male","20","5'10""","170 lb","2:56","7:38","2:22","18:02","398","0:54","19:20","265 lb","205 lb","425 lb","335 lb","60","Athlete: Tyler Kopacz","189 (2400)","Canada East","none","CrossFit Attain","Male","22","5'7""","165 lb","2:07","0:00","0:00","17:24","0","0:58","19:28","260 lb","205 lb","425 lb","360 lb","65"
"10","Athlete: Matt Baird","10 (272)","South East","CFNA Cockdiesel","CrossFit North Atlanta","Male","27","5'8""","195 lb","2:09","0:00","1:10","13:37","511","1:01","0:00","360 lb","286 lb","505 lb","445 lb","70","Athlete: Jason Ingham","70 (1385)","South East","Crossfit Ragnarök","CrossFit Ragnarok","Male","26","6'0""","202 lb","2:41","7:40","1:21","16:00","445","1:58","18:36","295 lb","235 lb","530 lb","370 lb","71","Athlete: Brent Fikowski","130 (1878)","Australia","CrossFit Broadbeach","CrossFit Broadbeach","Male","22","6'1""","92 kg","2:43","7:21","1:52","--","404","1:00","20:44","125 kg","102 kg","171 kg","141 kg","36","Athlete: Chad Mackay","190 (2402)","Australia","CrossFit Active","CrossFit Active","Male","31","6'0""","225 lb","2:40","7:00","2:00","18:00","400","1:00","20:00","135 kg","130 kg","220 kg","200 kg","45"
